queries,WorkerId,reliable_response_ids,reliable_responses,unreliable_response_ids,unreliable_responses,trust_scores,picked_better_lst,trust_preferences,explanation_type_lst,explanation_shown_lst,justifications,aspect_scores
The Taj Mahal sounds beautiful. Tell me more about how the Taj Mahal was built,worker_40,response_0,"Over 20,000 workers, guided by architect Ustad Ahmad Lahauri, and assisted by 1,000 elephants, constructed the Taj Mahal, using materials brought in from across Asia. The monument was completed in 1653, after 21 years of labor. Building materials for the Taj Mahal included translucent white marble from Rajasthan and twenty-eight different types of precious and semi-precious stones, along with other resources acquired from regions such as China, Tibet, Afghanistan, Sri Lanka, and Arabia. The construction process also involved using more than 1,000 elephants to transport these materials, a 15-kilometer ramp specifically built to move marble, and a sophisticated pulley system that was employed to lift heavy marble blocks.",response_1,"The Taj Mahal, a masterpiece of Mughal architecture, was commissioned by Emperor Shah Jahan in 1632 to honor his favorite wife, Mumtaz Mahal. This iconic structure involved a massive labor force of roughly 22,000 artisans, including masons, painters, and stonecutters, and it also utilized around 1,000 elephants for the transportation of materials. It was constructed using exquisite materials sourced from various locations, including translucent white marble from Rajasthan, and 28 types of precious and semi-precious stones from across Asia, inlaid into the marble to create intricate designs.","[1, 0, 0, 0, 0]",TRUE,Trust more reliable response a lot more,source_attribution,True,the source further confirms the information stated by the response which likel more accurate than option 2.,-1
What is the impact of dead corals on humans?,worker_40,response_1,"Dead corals have significant repercussions for humans, including the potential collapse of local tourism industries, possible vanishing of entire nations, and a worldwide food crisis. They threaten fisheries that are essential for the food and economic security of approximately 500 million people in tropical regions. Furthermore, the loss of coral reefs results in diminished coastal defense, leading to increased flooding and forced migration of people during severe weather events.",response_0,"The impact of dead corals on humans is significant and multifaceted. Primarily, it affects the local economies reliant on tourism, as the degradation of coral reefs can lead to a decline in tourists, which damages local businesses and jobs dependent on this sector. Additionally, the decline of coral reefs can affect global food security, particularly in coastal regions where communities depend heavily on reef ecosystems for fishing resources, potentially leading to a food crisis if these ecosystems collapse.","[0, 0, 0, 1, 0]",TRUE,Trust more reliable response slightly more,information_coverage,False,both response are guilty of not mentioning how dead coral reef affect tourism and job loss but response 2 shed more light how it affect the ocean and fishes.,"[1, 1]"
What is the impact of dead corals on humans?,worker_40,response_1,"Dead corals have significant repercussions for humans, including the potential collapse of local tourism industries, possible vanishing of entire nations, and a worldwide food crisis. They threaten fisheries that are essential for the food and economic security of approximately 500 million people in tropical regions. Furthermore, the loss of coral reefs results in diminished coastal defense, leading to increased flooding and forced migration of people during severe weather events.",response_0,"The impact of dead corals on humans is significant and multifaceted. Primarily, it affects the local economies reliant on tourism, as the degradation of coral reefs can lead to a decline in tourists, which damages local businesses and jobs dependent on this sector. Additionally, the decline of coral reefs can affect global food security, particularly in coastal regions where communities depend heavily on reef ecosystems for fishing resources, potentially leading to a food crisis if these ecosystems collapse.","[0, 0, 0, 0, 1]",TRUE,Trust more reliable response a lot more,information_coverage,True,as said earlier response two seems more enlightening and educative as it mentions some possible effects that aint too vague because if there would be possible loss of food those in coastal region would be hit hard and may not really be a global crises.,-1
What should I do next after getting an interview with a tech company?,worker_40,response_0,"Once you've landed an interview with a tech company, begin by conducting thorough research on the company, preparing responses to typical interview questions, and revisiting the job description.  Additionally, it’s advisable to tackle coding problems every day and practice writing code in a simple text editor or by hand to improve your recollection of syntax.",response_1,"After securing an interview with a tech company, begin by researching the company thoroughly to understand its goals, culture, and the specifics of the role you're applying for. Next, practice coding on a regular basis using resources such as LeetCode, Cracking the Coding Interview, and by doing mock interviews with friends using questions from these platforms. Additionally, review common interview questions and practice your responses, ensuring you can confidently discuss your experience, skills, and knowledge about the company during the interview.","[0, 0, 0, 1, 0]",FALSE,Trust more unreliable response slightly more,grounding,False,"I will assume that the interview involves coding so i would go with response 2, it has more information to help the user succeed in the fort coming interview, practicing with real human both friends and colleagues would help boost confidence in the upcoming interview. response two provided more useful information.","[1, 1]"
What should I do next after getting an interview with a tech company?,worker_40,response_0,"Once you've landed an interview with a tech company, begin by conducting thorough research on the company, preparing responses to typical interview questions, and revisiting the job description. [1, 2, 3] Additionally, it’s advisable to tackle coding problems every day and practice writing code in a simple text editor or by hand to improve your recollection of syntax. [1]",response_1,"After securing an interview with a tech company, begin by researching the company thoroughly to understand its goals, culture, and the specifics of the role you're applying for. Next, practice coding on a regular basis using resources such as LeetCode, Cracking the Coding Interview, and by doing mock interviews with friends using questions from these platforms. Additionally, review common interview questions and practice your responses, ensuring you can confidently discuss your experience, skills, and knowledge about the company during the interview.","[0, 0, 0, 1, 0]",FALSE,Trust more unreliable response slightly more,grounding,True,"although no backed source, experience made me understand that in interview be it with any industry or firm, the basic needed is mention in response two.",-1
Can I make the beauty products at home?,worker_31,response_1,"Yes, you can create beauty products at home using basic natural ingredients such as honey, coconut oil, and a variety of fruits. Making your own beauty products at home is beneficial as it allows for customization, cost savings, and avoids harmful chemicals. The concept of hosting a DIY spa day at home further supports the possibility of making your own beauty products.",response_0,"Yes, you can make beauty products at home using natural ingredients as described in the provided passage. Recipes for homemade treatments such as honey facials, coconut oil hand treatments, and various face masks using ingredients like banana, yogurt, strawberries, mint, cucumber, and egg whites are easy and beneficial for the skin. These DIY beauty products are not only cost-effective but also free from harmful chemicals, allowing you to customize them to suit individual skin needs and preferences.","[0, 1, 0, 0, 0]",FALSE,Trust more unreliable response slightly more,source_attribution,False,"Response A provides many specific examples of the ingredients uses, while response B veers off-topic to discuss a DIY spa day, which is unrelated to the primary intent of the query.","[1, 1]"
Can I make the beauty products at home?,worker_31,response_1,"Yes, you can create beauty products at home using basic natural ingredients such as honey, coconut oil, and a variety of fruits. Making your own beauty products at home is beneficial as it allows for customization, cost savings, and avoids harmful chemicals. The concept of hosting a DIY spa day at home further supports the possibility of making your own beauty products.",response_0,"Yes, you can make beauty products at home using natural ingredients as described in the provided passage. Recipes for homemade treatments such as honey facials, coconut oil hand treatments, and various face masks using ingredients like banana, yogurt, strawberries, mint, cucumber, and egg whites are easy and beneficial for the skin. These DIY beauty products are not only cost-effective but also free from harmful chemicals, allowing you to customize them to suit individual skin needs and preferences.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,source_attribution,True,"Because this is a potentially health related query, there needs to be a higher level of credibility, and response B's use of sources enhances the trust of that side, but response A's claims wouldn't be harmful without sources, suggesting the use of foods like cucumbers and bananas, so I think the answers really are about equally trustworthy.",-1
"I hear a lot about banking innovation, but what is Open Banking regulation?",worker_31,response_0,"Open Banking regulation refers to the application of open APIs and open-source technology, enabling third-party developers to design apps and services in conjunction with financial institutions. It compels EU and significant UK banks, under the Open Banking regulation, to permit third-party providers to access their consumer data through open APIs, aiming to boost financial clarity and empower account owners with more control. The UK's CMA mandated Open Banking regulation in 2016, obligating major banks to allow licensed startups to access transaction-level data, provided they have customer approval.",response_1,"Open Banking regulation refers to laws and guidelines that govern how financial institutions can share consumer banking, transaction, and other financial data with third-party developers via open APIs. This enables the creation of a broad range of applications and services that can access this data once the consumer has given their consent, often through simple actions like ticking a box on a terms-of-service agreement in an app. These regulations promote innovation in the financial services sector by allowing tech startups and online financial service vendors to use open-source technology to develop new customer-centric tools and features.","[0, 1, 0, 0, 0]",TRUE,Trust more reliable response slightly more,information_coverage,False,"Response A provides more specific details about open banking, while response B's language seems more evangelical towards it (""customer-centric tools"") than informative.","[1, 1]"
"I hear a lot about banking innovation, but what is Open Banking regulation?",worker_31,response_0,"Open Banking regulation refers to the application of open APIs and open-source technology, enabling third-party developers to design apps and services in conjunction with financial institutions. It compels EU and significant UK banks, under the Open Banking regulation, to permit third-party providers to access their consumer data through open APIs, aiming to boost financial clarity and empower account owners with more control. The UK's CMA mandated Open Banking regulation in 2016, obligating major banks to allow licensed startups to access transaction-level data, provided they have customer approval.",response_1,"Open Banking regulation refers to laws and guidelines that govern how financial institutions can share consumer banking, transaction, and other financial data with third-party developers via open APIs. This enables the creation of a broad range of applications and services that can access this data once the consumer has given their consent, often through simple actions like ticking a box on a terms-of-service agreement in an app. These regulations promote innovation in the financial services sector by allowing tech startups and online financial service vendors to use open-source technology to develop new customer-centric tools and features.","[0, 1, 0, 0, 0]",TRUE,Trust more reliable response slightly more,information_coverage,True,The broadness of response A vs narrow aspect of response B doesn't really impact my view of the trustworthiness of either for this query.,-1
I'd like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,worker_31,response_1,"A beauty pamper pack can contain items such as a pumice stone, wooden brush, oatmeal soap, body scrub, body wash, body lotion, chocolates, plush towel, housecoat, bubble bath, bath salts, inflatable bath pillow, candles, face mask kits, sponges, loofas, and a foot massager with salts.  For your mum, you might add luxuries like wine, specifically Rosé.  Additionally, consider including items like a tru mélange candle and Gérard Bertrand Coté des Roses in the pamper pack for your mum.",response_0,"To create a beauty pamper pack for your mum, include items that enhance a relaxing bath experience like vanilla-scented candles, a pumice stone, a wooden brush, and oatmeal soap for exfoliation. Add bath essentials like a luxurious body scrub, body wash, and body lotion to moisturize and rejuvenate her skin. Furthermore, incorporate small treats such as assorted chocolates in cute mason jars, and include her favorite beverage like tea or wine to elevate the pampering session.","[0, 1, 0, 0, 0]",FALSE,Trust more unreliable response slightly more,grounding,False,"Response B's citing of specific brands makes it feel more like an advertisement to me, while response A's more generic suggestions, especially given the subjective query, seem more helpful and trustworthy.","[1, 1]"
I'd like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,worker_31,response_1,"A beauty pamper pack can contain items such as a pumice stone, wooden brush, oatmeal soap, body scrub, body wash, body lotion, chocolates, plush towel, housecoat, bubble bath, bath salts, inflatable bath pillow, candles, face mask kits, sponges, loofas, and a foot massager with salts. [1, 2, 3] For your mum, you might add luxuries like wine, specifically Rosé. [1] Additionally, consider including items like a tru mélange candle and Gérard Bertrand Coté des Roses in the pamper pack for your mum. [1]",response_0,"To create a beauty pamper pack for your mum, include items that enhance a relaxing bath experience like vanilla-scented candles, a pumice stone, a wooden brush, and oatmeal soap for exfoliation. Add bath essentials like a luxurious body scrub, body wash, and body lotion to moisturize and rejuvenate her skin. Furthermore, incorporate small treats such as assorted chocolates in cute mason jars, and include her favorite beverage like tea or wine to elevate the pampering session.","[0, 1, 0, 0, 0]",FALSE,Trust more unreliable response slightly more,grounding,True,"I don't care about response B's citing of sources, since this is an inherently subjective question; I still prefer response A.",-1
The Taj Mahal sounds beautiful. Tell me more about how the Taj Mahal was built,worker_31,response_0,"Over 20,000 workers, guided by architect Ustad Ahmad Lahauri, and assisted by 1,000 elephants, constructed the Taj Mahal, using materials brought in from across Asia. The monument was completed in 1653, after 21 years of labor. Building materials for the Taj Mahal included translucent white marble from Rajasthan and twenty-eight different types of precious and semi-precious stones, along with other resources acquired from regions such as China, Tibet, Afghanistan, Sri Lanka, and Arabia. The construction process also involved using more than 1,000 elephants to transport these materials, a 15-kilometer ramp specifically built to move marble, and a sophisticated pulley system that was employed to lift heavy marble blocks.",response_1,"The Taj Mahal, a masterpiece of Mughal architecture, was commissioned by Emperor Shah Jahan in 1632 to honor his favorite wife, Mumtaz Mahal. This iconic structure involved a massive labor force of roughly 22,000 artisans, including masons, painters, and stonecutters, and it also utilized around 1,000 elephants for the transportation of materials. It was constructed using exquisite materials sourced from various locations, including translucent white marble from Rajasthan, and 28 types of precious and semi-precious stones from across Asia, inlaid into the marble to create intricate designs.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,source_attribution,False,Both responses provide detail information about the construction materials and building process for the Taj Mahal.,"[1, 1]"
The Taj Mahal sounds beautiful. Tell me more about how the Taj Mahal was built,worker_31,response_0,"Over 20,000 workers, guided by architect Ustad Ahmad Lahauri, and assisted by 1,000 elephants, constructed the Taj Mahal, using materials brought in from across Asia. The monument was completed in 1653, after 21 years of labor. Building materials for the Taj Mahal included translucent white marble from Rajasthan and twenty-eight different types of precious and semi-precious stones, along with other resources acquired from regions such as China, Tibet, Afghanistan, Sri Lanka, and Arabia. The construction process also involved using more than 1,000 elephants to transport these materials, a 15-kilometer ramp specifically built to move marble, and a sophisticated pulley system that was employed to lift heavy marble blocks.",response_1,"The Taj Mahal, a masterpiece of Mughal architecture, was commissioned by Emperor Shah Jahan in 1632 to honor his favorite wife, Mumtaz Mahal. This iconic structure involved a massive labor force of roughly 22,000 artisans, including masons, painters, and stonecutters, and it also utilized around 1,000 elephants for the transportation of materials. It was constructed using exquisite materials sourced from various locations, including translucent white marble from Rajasthan, and 28 types of precious and semi-precious stones from across Asia, inlaid into the marble to create intricate designs.","[1, 0, 0, 0, 0]",TRUE,Trust more reliable response a lot more,source_attribution,True,"Response A's cited sources backing up the numerous specific claims in the response makes it more trustworthy, since these are objective facts to verify.",-1
What is the impact of dead corals on humans?,worker_31,response_1,"Dead corals have significant repercussions for humans, including the potential collapse of local tourism industries, possible vanishing of entire nations, and a worldwide food crisis. They threaten fisheries that are essential for the food and economic security of approximately 500 million people in tropical regions. Furthermore, the loss of coral reefs results in diminished coastal defense, leading to increased flooding and forced migration of people during severe weather events.",response_0,"The impact of dead corals on humans is significant and multifaceted. Primarily, it affects the local economies reliant on tourism, as the degradation of coral reefs can lead to a decline in tourists, which damages local businesses and jobs dependent on this sector. Additionally, the decline of coral reefs can affect global food security, particularly in coastal regions where communities depend heavily on reef ecosystems for fishing resources, potentially leading to a food crisis if these ecosystems collapse.","[0, 1, 0, 0, 0]",FALSE,Trust more unreliable response slightly more,information_coverage,False,"Response B makes what seems like a more alarmist style claim, versus response A's more general, neutral assertions of the impact of dead coral reefs on humans.","[1, 1]"
What is the impact of dead corals on humans?,worker_31,response_1,"Dead corals have significant repercussions for humans, including the potential collapse of local tourism industries, possible vanishing of entire nations, and a worldwide food crisis. They threaten fisheries that are essential for the food and economic security of approximately 500 million people in tropical regions. Furthermore, the loss of coral reefs results in diminished coastal defense, leading to increased flooding and forced migration of people during severe weather events.",response_0,"The impact of dead corals on humans is significant and multifaceted. Primarily, it affects the local economies reliant on tourism, as the degradation of coral reefs can lead to a decline in tourists, which damages local businesses and jobs dependent on this sector. Additionally, the decline of coral reefs can affect global food security, particularly in coastal regions where communities depend heavily on reef ecosystems for fishing resources, potentially leading to a food crisis if these ecosystems collapse.","[0, 1, 0, 0, 0]",FALSE,Trust more unreliable response slightly more,information_coverage,True,"Though the suggestion that response B focuses on broader aspects, I still would want to see sources to back up the specific claims it makes, such as 500 million people affected.",-1
What should I do next after getting an interview with a tech company?,worker_31,response_0,"Once you've landed an interview with a tech company, begin by conducting thorough research on the company, preparing responses to typical interview questions, and revisiting the job description.  Additionally, it’s advisable to tackle coding problems every day and practice writing code in a simple text editor or by hand to improve your recollection of syntax.",response_1,"After securing an interview with a tech company, begin by researching the company thoroughly to understand its goals, culture, and the specifics of the role you're applying for. Next, practice coding on a regular basis using resources such as LeetCode, Cracking the Coding Interview, and by doing mock interviews with friends using questions from these platforms. Additionally, review common interview questions and practice your responses, ensuring you can confidently discuss your experience, skills, and knowledge about the company during the interview.","[0, 1, 0, 0, 0]",TRUE,Trust more reliable response slightly more,grounding,False,"I prefer not to have specific platforms mentioned, like response B does, because I always wonder if they're getting paid to endorse them. Response A's more generic suggestions make me feel it's more trustworthy.","[1, 1]"
What should I do next after getting an interview with a tech company?,worker_31,response_0,"Once you've landed an interview with a tech company, begin by conducting thorough research on the company, preparing responses to typical interview questions, and revisiting the job description. [1, 2, 3] Additionally, it’s advisable to tackle coding problems every day and practice writing code in a simple text editor or by hand to improve your recollection of syntax. [1]",response_1,"After securing an interview with a tech company, begin by researching the company thoroughly to understand its goals, culture, and the specifics of the role you're applying for. Next, practice coding on a regular basis using resources such as LeetCode, Cracking the Coding Interview, and by doing mock interviews with friends using questions from these platforms. Additionally, review common interview questions and practice your responses, ensuring you can confidently discuss your experience, skills, and knowledge about the company during the interview.","[1, 0, 0, 0, 0]",TRUE,Trust more reliable response a lot more,grounding,True,"Even though this is a subject query, having sources in response A, which included personal expertise by a youtuber who quotes various books, would make that response more trustworthy than response B's promotion of specific coding websites.",-1
Can I make the beauty products at home?,worker_16,response_1,"Yes, you can create beauty products at home using basic natural ingredients such as honey, coconut oil, and a variety of fruits. Making your own beauty products at home is beneficial as it allows for customization, cost savings, and avoids harmful chemicals. The concept of hosting a DIY spa day at home further supports the possibility of making your own beauty products.",response_0,"Yes, you can make beauty products at home using natural ingredients as described in the provided passage. Recipes for homemade treatments such as honey facials, coconut oil hand treatments, and various face masks using ingredients like banana, yogurt, strawberries, mint, cucumber, and egg whites are easy and beneficial for the skin. These DIY beauty products are not only cost-effective but also free from harmful chemicals, allowing you to customize them to suit individual skin needs and preferences.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,source_attribution,False,"In truth, both of these responses are more or less the exact same. There isn't much a reason to trust one response over the other in this instance as the cover the same aspects in ""generality"".","[1, 1]"
Can I make the beauty products at home?,worker_16,response_1,"Yes, you can create beauty products at home using basic natural ingredients such as honey, coconut oil, and a variety of fruits. Making your own beauty products at home is beneficial as it allows for customization, cost savings, and avoids harmful chemicals. The concept of hosting a DIY spa day at home further supports the possibility of making your own beauty products.",response_0,"Yes, you can make beauty products at home using natural ingredients as described in the provided passage. Recipes for homemade treatments such as honey facials, coconut oil hand treatments, and various face masks using ingredients like banana, yogurt, strawberries, mint, cucumber, and egg whites are easy and beneficial for the skin. These DIY beauty products are not only cost-effective but also free from harmful chemicals, allowing you to customize them to suit individual skin needs and preferences.","[0, 0, 0, 1, 0]",TRUE,Trust more reliable response slightly more,source_attribution,True,"While I pefer the source documents to have a link, I rather have sources to back up the opinions",-1
"I hear a lot about banking innovation, but what is Open Banking regulation?",worker_16,response_0,"Open Banking regulation refers to the application of open APIs and open-source technology, enabling third-party developers to design apps and services in conjunction with financial institutions. It compels EU and significant UK banks, under the Open Banking regulation, to permit third-party providers to access their consumer data through open APIs, aiming to boost financial clarity and empower account owners with more control. The UK's CMA mandated Open Banking regulation in 2016, obligating major banks to allow licensed startups to access transaction-level data, provided they have customer approval.",response_1,"Open Banking regulation refers to laws and guidelines that govern how financial institutions can share consumer banking, transaction, and other financial data with third-party developers via open APIs. This enables the creation of a broad range of applications and services that can access this data once the consumer has given their consent, often through simple actions like ticking a box on a terms-of-service agreement in an app. These regulations promote innovation in the financial services sector by allowing tech startups and online financial service vendors to use open-source technology to develop new customer-centric tools and features.","[0, 0, 0, 1, 0]",FALSE,Trust more unreliable response slightly more,information_coverage,False,"B is much more generalized to someone who doesn't what the subject is, whereas A is much more focused on the ins and outs.","[1, 1]"
"I hear a lot about banking innovation, but what is Open Banking regulation?",worker_16,response_0,"Open Banking regulation refers to the application of open APIs and open-source technology, enabling third-party developers to design apps and services in conjunction with financial institutions. It compels EU and significant UK banks, under the Open Banking regulation, to permit third-party providers to access their consumer data through open APIs, aiming to boost financial clarity and empower account owners with more control. The UK's CMA mandated Open Banking regulation in 2016, obligating major banks to allow licensed startups to access transaction-level data, provided they have customer approval.",response_1,"Open Banking regulation refers to laws and guidelines that govern how financial institutions can share consumer banking, transaction, and other financial data with third-party developers via open APIs. This enables the creation of a broad range of applications and services that can access this data once the consumer has given their consent, often through simple actions like ticking a box on a terms-of-service agreement in an app. These regulations promote innovation in the financial services sector by allowing tech startups and online financial service vendors to use open-source technology to develop new customer-centric tools and features.","[0, 0, 0, 1, 0]",FALSE,Trust more unreliable response slightly more,information_coverage,True,"My response is ultimately unchanged by this, and I disagree with what A explanation box says, being that A is actually much more specific then B.",-1
I'd like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,worker_16,response_1,"A beauty pamper pack can contain items such as a pumice stone, wooden brush, oatmeal soap, body scrub, body wash, body lotion, chocolates, plush towel, housecoat, bubble bath, bath salts, inflatable bath pillow, candles, face mask kits, sponges, loofas, and a foot massager with salts.  For your mum, you might add luxuries like wine, specifically Rosé.  Additionally, consider including items like a tru mélange candle and Gérard Bertrand Coté des Roses in the pamper pack for your mum.",response_0,"To create a beauty pamper pack for your mum, include items that enhance a relaxing bath experience like vanilla-scented candles, a pumice stone, a wooden brush, and oatmeal soap for exfoliation. Add bath essentials like a luxurious body scrub, body wash, and body lotion to moisturize and rejuvenate her skin. Furthermore, incorporate small treats such as assorted chocolates in cute mason jars, and include her favorite beverage like tea or wine to elevate the pampering session.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,grounding,False,This are both opinions. Not much to trust here.,"[0, 1]"
I'd like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,worker_16,response_1,"A beauty pamper pack can contain items such as a pumice stone, wooden brush, oatmeal soap, body scrub, body wash, body lotion, chocolates, plush towel, housecoat, bubble bath, bath salts, inflatable bath pillow, candles, face mask kits, sponges, loofas, and a foot massager with salts. [1, 2, 3] For your mum, you might add luxuries like wine, specifically Rosé. [1] Additionally, consider including items like a tru mélange candle and Gérard Bertrand Coté des Roses in the pamper pack for your mum. [1]",response_0,"To create a beauty pamper pack for your mum, include items that enhance a relaxing bath experience like vanilla-scented candles, a pumice stone, a wooden brush, and oatmeal soap for exfoliation. Add bath essentials like a luxurious body scrub, body wash, and body lotion to moisturize and rejuvenate her skin. Furthermore, incorporate small treats such as assorted chocolates in cute mason jars, and include her favorite beverage like tea or wine to elevate the pampering session.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,grounding,True,"I'm sorry, but... do you really need *sources* for this kind of thing? My opinion is ultimately unchanged",-1
The Taj Mahal sounds beautiful. Tell me more about how the Taj Mahal was built,worker_16,response_0,"Over 20,000 workers, guided by architect Ustad Ahmad Lahauri, and assisted by 1,000 elephants, constructed the Taj Mahal, using materials brought in from across Asia. The monument was completed in 1653, after 21 years of labor. Building materials for the Taj Mahal included translucent white marble from Rajasthan and twenty-eight different types of precious and semi-precious stones, along with other resources acquired from regions such as China, Tibet, Afghanistan, Sri Lanka, and Arabia. The construction process also involved using more than 1,000 elephants to transport these materials, a 15-kilometer ramp specifically built to move marble, and a sophisticated pulley system that was employed to lift heavy marble blocks.",response_1,"The Taj Mahal, a masterpiece of Mughal architecture, was commissioned by Emperor Shah Jahan in 1632 to honor his favorite wife, Mumtaz Mahal. This iconic structure involved a massive labor force of roughly 22,000 artisans, including masons, painters, and stonecutters, and it also utilized around 1,000 elephants for the transportation of materials. It was constructed using exquisite materials sourced from various locations, including translucent white marble from Rajasthan, and 28 types of precious and semi-precious stones from across Asia, inlaid into the marble to create intricate designs.","[0, 1, 0, 0, 0]",TRUE,Trust more reliable response slightly more,source_attribution,False,"The question was asking about how it was built. Response B is too general and talks somewhat about the materials used and some of the work force, but I think that if I was asking the question, that's now how I would like it to go.","[1, 0]"
The Taj Mahal sounds beautiful. Tell me more about how the Taj Mahal was built,worker_16,response_0,"Over 20,000 workers, guided by architect Ustad Ahmad Lahauri, and assisted by 1,000 elephants, constructed the Taj Mahal, using materials brought in from across Asia. The monument was completed in 1653, after 21 years of labor. Building materials for the Taj Mahal included translucent white marble from Rajasthan and twenty-eight different types of precious and semi-precious stones, along with other resources acquired from regions such as China, Tibet, Afghanistan, Sri Lanka, and Arabia. The construction process also involved using more than 1,000 elephants to transport these materials, a 15-kilometer ramp specifically built to move marble, and a sophisticated pulley system that was employed to lift heavy marble blocks.",response_1,"The Taj Mahal, a masterpiece of Mughal architecture, was commissioned by Emperor Shah Jahan in 1632 to honor his favorite wife, Mumtaz Mahal. This iconic structure involved a massive labor force of roughly 22,000 artisans, including masons, painters, and stonecutters, and it also utilized around 1,000 elephants for the transportation of materials. It was constructed using exquisite materials sourced from various locations, including translucent white marble from Rajasthan, and 28 types of precious and semi-precious stones from across Asia, inlaid into the marble to create intricate designs.","[1, 0, 0, 0, 0]",TRUE,Trust more reliable response a lot more,source_attribution,True,"This also comes with sources, while the alternate was not able to come up witht hem.",-1
What is the impact of dead corals on humans?,worker_16,response_1,"Dead corals have significant repercussions for humans, including the potential collapse of local tourism industries, possible vanishing of entire nations, and a worldwide food crisis. They threaten fisheries that are essential for the food and economic security of approximately 500 million people in tropical regions. Furthermore, the loss of coral reefs results in diminished coastal defense, leading to increased flooding and forced migration of people during severe weather events.",response_0,"The impact of dead corals on humans is significant and multifaceted. Primarily, it affects the local economies reliant on tourism, as the degradation of coral reefs can lead to a decline in tourists, which damages local businesses and jobs dependent on this sector. Additionally, the decline of coral reefs can affect global food security, particularly in coastal regions where communities depend heavily on reef ecosystems for fishing resources, potentially leading to a food crisis if these ecosystems collapse.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,information_coverage,False,"These both feel like the same exactly result to me, to be honest. The only difference betweeb the two is that B is much more alarmist.","[0, 0]"
What is the impact of dead corals on humans?,worker_16,response_1,"Dead corals have significant repercussions for humans, including the potential collapse of local tourism industries, possible vanishing of entire nations, and a worldwide food crisis. They threaten fisheries that are essential for the food and economic security of approximately 500 million people in tropical regions. Furthermore, the loss of coral reefs results in diminished coastal defense, leading to increased flooding and forced migration of people during severe weather events.",response_0,"The impact of dead corals on humans is significant and multifaceted. Primarily, it affects the local economies reliant on tourism, as the degradation of coral reefs can lead to a decline in tourists, which damages local businesses and jobs dependent on this sector. Additionally, the decline of coral reefs can affect global food security, particularly in coastal regions where communities depend heavily on reef ecosystems for fishing resources, potentially leading to a food crisis if these ecosystems collapse.","[0, 0, 0, 1, 0]",TRUE,Trust more reliable response slightly more,information_coverage,True,"I guess, yeah, B does have just slightly more",-1
What should I do next after getting an interview with a tech company?,worker_16,response_0,"Once you've landed an interview with a tech company, begin by conducting thorough research on the company, preparing responses to typical interview questions, and revisiting the job description.  Additionally, it’s advisable to tackle coding problems every day and practice writing code in a simple text editor or by hand to improve your recollection of syntax.",response_1,"After securing an interview with a tech company, begin by researching the company thoroughly to understand its goals, culture, and the specifics of the role you're applying for. Next, practice coding on a regular basis using resources such as LeetCode, Cracking the Coding Interview, and by doing mock interviews with friends using questions from these platforms. Additionally, review common interview questions and practice your responses, ensuring you can confidently discuss your experience, skills, and knowledge about the company during the interview.","[0, 1, 0, 0, 0]",TRUE,Trust more reliable response slightly more,grounding,False,"I do like the specific responses in B, but I think that A is a lot better for general stuff.","[1, 1]"
What should I do next after getting an interview with a tech company?,worker_16,response_0,"Once you've landed an interview with a tech company, begin by conducting thorough research on the company, preparing responses to typical interview questions, and revisiting the job description. [1, 2, 3] Additionally, it’s advisable to tackle coding problems every day and practice writing code in a simple text editor or by hand to improve your recollection of syntax. [1]",response_1,"After securing an interview with a tech company, begin by researching the company thoroughly to understand its goals, culture, and the specifics of the role you're applying for. Next, practice coding on a regular basis using resources such as LeetCode, Cracking the Coding Interview, and by doing mock interviews with friends using questions from these platforms. Additionally, review common interview questions and practice your responses, ensuring you can confidently discuss your experience, skills, and knowledge about the company during the interview.","[0, 0, 1, 0, 0]",-1,Trust both responses about the same,grounding,True,"Sources are always good, and this helps, but the sources feel like they just come from anywhere. Links would be nice. I don't trust either of them now.",-1
